Unnamed: 0,link,usr_name,tournaments,profit,totBI,totCashes,roi,roiBI,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
136,https://mttmarket.com/users/55ba5c9961ccb6004d2bcb6a,ramiawad,1124.0,8490.28,37836.17,46326.45,22.44,7.22,33.66,15.39,9465.0,1235.02,18.64,63553.86,41.58,36.03,1945.0,296.02,32.14,10936.04,24.55,17.49
139,https://mttmarket.com/users/537318450cf2c8120d3cc289,O_o link,2011.0,7231.3,13934.71,21166.01,51.89,51.9,6.93,21.73,7570.0,2291.68,3.19,9376.92,44.63,38.79,1998.0,313.96,4.12,1492.45,29.08,18.13
143,https://mttmarket.com/users/557b28d80cf28887159d80b5,KOHb_blr,785.0,3124.09,6533.6,9657.69,47.82,58.63,8.32,24.84,23847.0,1784.0,5.45,22305.05,38.05,17.15,2830.0,398.03,7.57,9030.3,74.86,42.13
145,https://mttmarket.com/users/545440e10cf24a5c0d83e873,MoWeR,1126.0,4585.54,11650.24,16235.78,39.36,41.3,10.35,18.65,16980.0,2031.2,10.3,66172.87,60.6,37.85,3441.0,309.25,8.51,21220.23,112.05,72.47
147,https://mttmarket.com/users/54750a910cf24a5c0d8cc19e,ChckMate,2712.0,9260.61,177901.33,187161.94,5.21,18.77,65.6,17.66,5278.0,799.84,32.19,39767.35,41.37,23.4,3492.0,248.55,37.51,45611.41,42.16,34.82
148,https://mttmarket.com/users/54d749a40cf2d7cefbe6ee80,DMethos,1644.0,1230.68,5855.52,7086.2,21.02,25.41,3.56,19.1,5231.0,2606.9,1.34,1707.94,32.53,24.37,1772.0,235.73,2.74,1805.77,47.06,37.14
149,https://mttmarket.com/users/555b213d0cf2820a8e3c88e0,MTIMachine,311.0,315.54,1420.95,1736.49,22.21,75.85,4.57,21.54,3185.0,1911.64,1.44,2090.85,47.37,45.45,539.0,244.22,1.73,348.04,37.84,37.24
150,https://mttmarket.com/users/5527c9b60cf28d50eba1fcc4,Bigluckpls,626.0,2185.02,12971.2,15156.22,16.85,10.55,20.72,17.41,7002.0,872.56,17.51,28436.31,28.41,23.2,1845.0,226.2,17.54,4178.85,14.69,12.91
151,https://mttmarket.com/users/55b1121561ccb60010e6dea0,beetle,1331.0,-2105.96,7697.61,5591.65,-27.36,-22.93,5.78,19.23,11487.0,3743.61,1.52,-1217.94,6.19,-6.99,2413.0,219.44,2.56,-354.08,4.83,-5.73
154,https://mttmarket.com/users/54e1f4000cf2aad4ad05324d,sabakabarabaka63,2162.0,3197.16,28930.3,32127.46,11.05,12.97,13.38,17.48,14960.0,1007.4,29.4,107273.79,26.46,24.39,4235.0,197.06,10.91,12386.26,35.96,26.8
158,https://mttmarket.com/users/555a30660cf2820a8e3c6366,antey2710,125.0,158.8,437.95,596.75,36.26,73.26,3.5,24.8,3884.0,409.23,0.59,527.92,15.36,22.97,478.0,190.96,1.29,397.95,54.75,64.71
163,https://mttmarket.com/users/55a1f9200cf2c4481c7a6e6a,Eddy James Kenway,1097.0,-675.7,3779.6,3103.9,-17.88,-23.11,3.45,20.6,3511.0,2606.82,1.11,-896.59,1.25,-23.0,1646.0,297.1,1.1,-99.55,18.33,-5.51
165,https://mttmarket.com/users/5315e9ee2d00005a04ba0b3b,Serik,4286.0,-1784.62,102365.85,100581.23,-1.74,-2.19,23.88,20.09,7438.0,826.07,15.1,5292.48,14.47,4.71,1593.0,301.43,22.57,-5178.03,-3.26,-14.4
178,https://mttmarket.com/users/55379e770cf26d1eaea5528c,dieselamq,2461.0,4950.29,22021.87,26972.16,22.48,19.74,8.95,19.59,9236.0,781.06,4.9,6032.94,23.2,13.32,1750.0,405.18,8.13,6984.74,60.98,49.07
180,https://mttmarket.com/users/544288990cf24a5c0d7e6b4d,punter54,2681.0,6324.48,19629.67,25954.15,32.22,36.15,7.32,19.21,13882.0,805.94,4.04,22315.44,45.41,39.75,2435.0,330.7,5.53,4061.27,35.22,30.19
184,https://mttmarket.com/users/558ef0fb0cf2888715a56253,mephisto,1165.0,500.07,9630.09,10130.16,5.19,13.7,8.27,19.06,2334.0,2219.8,7.87,5316.65,20.43,28.93,1170.0,494.58,9.63,2364.27,41.19,20.99
190,https://mttmarket.com/users/54ba71520cf2ef809cce1700,leo minorrr,1390.0,1372.31,7339.12,8711.43,18.7,27.02,5.28,18.35,5745.0,4767.89,4.38,9743.54,78.24,38.71,822.0,506.49,3.81,330.67,39.41,10.55
