Unnamed: 0,Unnamed: 0.1,link,usr_name,start_date,BI,tournaments,coef,stakeback,player_part,sell_left,status,item_info,shit,BI_actual,Cashes
598,2860,https://mttmarket.com/users/557ec3370cf28887159e8407,petoose,16.08.2015,203.2,35,1.16,,30.0,0.0,-74.82,https://mttmarket.com/packets/item/55cfa55261ccb612d26172b9,,145.4,70.58
599,2861,https://mttmarket.com/users/5377d9fd0cf2c8120d3d8aa1,fwd2dreams,16.08.2015,1315.23,20,1.15,,30.0,0.0,-1160.55,https://mttmarket.com/packets/item/55cba9f861ccb606890b11ae,,1315.23,154.68
600,2862,https://mttmarket.com/users/55ba5c9961ccb6004d2bcb6a,ramiawad,16.08.2015,955.1,28,1.17,,94.0,0.0,-331.55,https://mttmarket.com/packets/item/55cbe4af61ccb6073e0d9436,,560.8,229.25
601,2863,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,16.08.2015,537.45,26,1.15,,50.0,0.0,1051.3,https://mttmarket.com/packets/item/55cd234961ccb60ba59c86c4,,457.34,1508.64
602,2864,https://mttmarket.com/users/554a21bc0cf2bb0785a32293,kolowsk1,16.08.2015,345.8,22,1.16,,50.0,0.0,-67.5,https://mttmarket.com/packets/item/55ce523361ccb60f464db870,,306.5,239.0
603,2865,https://mttmarket.com/users/559bf11d0cf2d95aabb1f1f7,KASMETKO,16.08.2015,634.45,45,1.15,,45.0,0.0,-330.98,https://mttmarket.com/packets/item/55ce53f461ccb60f334e67e7,,527.71,196.73
604,2866,https://mttmarket.com/users/55965ea00cf2d95aabafda28,ignatik,16.08.2015,161.9,34,1.16,,28.0,0.0,-26.24,https://mttmarket.com/packets/item/55cf30a561ccb6115bc2c00c,,151.9,125.66
605,2867,https://mttmarket.com/users/52b32f4b5a00006002eb24df,NikAs,16.08.2015,1887.08,34,1.19,,50.0,0.0,-678.31,https://mttmarket.com/packets/item/55d0619861ccb614546c91b2,,1578.24,899.93
606,2868,https://mttmarket.com/users/55360d190cf26d1eaea49faf,Sytnik,16.08.2015,4.5,1,1.16,,50.0,0.0,-4.5,https://mttmarket.com/packets/item/55d0939661ccb6154dce2aa2,,4.5,0.0
607,2869,https://mttmarket.com/users/555deed30cf2820a8e3d3d6b,utaquake,16.08.2015,149.4,16,1.16,,30.0,0.0,-71.43,https://mttmarket.com/packets/item/55cf555861ccb611db7b04cf,,149.4,77.97
608,2870,https://mttmarket.com/users/54c9e1b30cf23c4942907efc,lackerboyzz,16.08.2015,101.46,20,1.16,,50.0,0.0,-36.64,https://mttmarket.com/packets/item/55cddfd361ccb60d935a5593,,82.7,46.06
609,2871,https://mttmarket.com/users/553a57cb0cf26d1eaea5d96e,PlayAndPray,16.08.2015,226.51,36,1.16,,20.0,0.0,-62.7,https://mttmarket.com/packets/item/55ce18f461ccb60ea6e2af9f,,198.39,135.69
610,2872,https://mttmarket.com/users/536e0f9e0cf2c15ecd6feb06,robi,16.08.2015,647.58,28,1.16,,50.0,0.0,-520.48,https://mttmarket.com/packets/item/55cf3dc861ccb6116f7e37b9,,639.58,119.1
611,2873,https://mttmarket.com/users/53dcb1860cf2295303595b65,Naneeck,16.08.2015,303.4,21,1.17,,50.0,0.0,864.18,https://mttmarket.com/packets/item/55cfe6b361ccb61376d099a2,,303.4,1167.58
612,2874,https://mttmarket.com/users/54a1bc060cf23c2fa9bcedf8,pian76,16.08.2015,108.9,20,1.16,,40.0,0.0,-71.03,https://mttmarket.com/packets/item/55d05d3d61ccb6144058aede,,89.9,18.87
