Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm
30,https://mttmarket.com/users/556eb6c90cf2a06f774a60ee,marat2302,262.42,2946.6,3209.02,8.91,1.65,407,7.24,19.66
31,https://mttmarket.com/users/54eee3a90cf22b7780472da2,AHTOCb,8847.37,23270.32,32117.69,38.02,56.15,1199,19.41,23.52
32,https://mttmarket.com/users/559bf11d0cf2d95aabb1f1f7,KASMETKO,-1241.42,7103.11,5861.69,-17.48,-15.63,643,11.05,14.93
33,https://mttmarket.com/users/54a2b47a0cf23c2fa9bd696d,kyzyldurrr,-2502.98,4529.7,2026.72,-55.26,-51.56,300,15.1,22.0
34,https://mttmarket.com/users/532ca3935200008d4da9c533,OtDushi,26854.08,130127.28,156981.36,20.64,28.88,2823,46.1,20.33
35,https://mttmarket.com/users/549bdc8e0cf23c3abe0c1f03,bblk,5174.03,40473.79,45647.82,12.78,31.69,4113,9.84,18.21
36,https://mttmarket.com/users/54a1bc060cf23c2fa9bcedf8,pian76,-249.96,2174.3,1924.34,-11.5,-3.71,418,5.2,22.49
37,https://mttmarket.com/users/55ad35e861ccb6000f5e58de,bruini,2715.19,4734.6,7449.79,57.35,64.58,759,6.24,19.1
38,https://mttmarket.com/users/557ec3370cf28887159e8407,petoose,-1108.17,4660.08,3551.91,-23.78,-11.65,843,5.53,17.91
40,https://mttmarket.com/users/553d123c0cf26d1eaea65028,IGOR1010,2455.7,5195.66,7651.36,47.26,43.47,1088,4.78,22.06
41,https://mttmarket.com/users/5576dfdb0cf28887159c7136,plush0,3150.38,8309.45,11459.83,37.91,39.75,949,8.76,19.6
43,https://mttmarket.com/users/557ed7200cf28887159e8b77,TomCoep,436.18,5420.21,5856.39,8.05,25.42,992,5.46,20.77
45,https://mttmarket.com/users/537252150cf2c8120d3ca38a,Jumanja777,17642.47,39704.98,57347.45,44.43,70.22,3035,13.08,20.96
46,https://mttmarket.com/users/55a78be60cf2c4481c7cae76,rodevisto,-1353.66,12328.91,10975.25,-10.98,-10.42,932,13.23,24.03
47,https://mttmarket.com/users/5411d2b60cf22953036831e9,silverbuttonlad,3806.73,12637.97,16444.7,30.12,56.66,1877,6.73,23.12
48,https://mttmarket.com/users/554a21bc0cf2bb0785a32293,kolowsk1,-2793.8,11809.0,9015.2,-23.66,-19.29,856,13.8,19.04
49,https://mttmarket.com/users/5581ce4a0cf28887159f72a7,Stalpan,-2691.28,9871.62,7180.34,-27.26,-20.45,1231,8.02,22.42
50,https://mttmarket.com/users/54ebbf270cf22b7780463868,TuzMan23,840.59,19249.68,20090.27,4.37,1.87,824,23.36,20.63
51,https://mttmarket.com/users/537800600cf2c8120d3d8eed,Crock,-321.72,4981.21,4659.49,-6.46,2.0,546,9.12,22.71
