Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
35,https://mttmarket.com/users/549bdc8e0cf23c3abe0c1f03,bblk,5174.03,40473.79,45647.82,12.78,31.69,4113,9.84,18.21,25691.0,1415.65,20.7,197942.98,61.78,37.22,2132.0,452.68,9.24,6090.13,40.92,30.92
36,https://mttmarket.com/users/54a1bc060cf23c2fa9bcedf8,pian76,-249.96,2174.3,1924.34,-11.5,-3.71,418,5.2,22.49,4418.0,1356.64,2.57,2418.82,53.2,21.28,1211.0,382.63,3.49,652.46,45.48,15.45
37,https://mttmarket.com/users/55ad35e861ccb6000f5e58de,bruini,2715.19,4734.6,7449.79,57.35,64.58,759,6.24,19.1,5017.0,895.48,2.77,5781.11,38.42,41.65,440.0,498.79,4.71,194.77,24.99,9.4
38,https://mttmarket.com/users/557ec3370cf28887159e8407,petoose,-1108.17,4660.08,3551.91,-23.78,-11.65,843,5.53,17.91,6320.0,4231.14,3.21,2782.39,19.51,13.7,601.0,424.82,7.87,-467.25,23.78,-9.88
40,https://mttmarket.com/users/553d123c0cf26d1eaea65028,IGOR1010,2455.7,5195.66,7651.36,47.26,43.47,1088,4.78,22.06,3591.0,1680.6,3.19,3916.12,28.3,34.2,1513.0,453.96,4.04,1708.8,23.85,27.92
41,https://mttmarket.com/users/5576dfdb0cf28887159c7136,plush0,3150.38,8309.45,11459.83,37.91,39.75,949,8.76,19.6,4003.0,2244.32,3.3,5152.36,59.19,38.99,1433.0,383.89,4.75,4239.46,90.87,62.31
43,https://mttmarket.com/users/557ed7200cf28887159e8b77,TomCoep,436.18,5420.21,5856.39,8.05,25.42,992,5.46,20.77,2625.0,1720.58,3.78,7449.73,45.79,75.1,914.0,473.71,7.1,3848.93,71.57,59.3
45,https://mttmarket.com/users/537252150cf2c8120d3ca38a,Jumanja777,17642.47,39704.98,57347.45,44.43,70.22,3035,13.08,20.96,8496.0,1949.19,10.58,49291.33,88.39,54.85,2775.0,426.03,12.93,7160.34,42.46,19.95
46,https://mttmarket.com/users/55a78be60cf2c4481c7cae76,rodevisto,-1353.66,12328.91,10975.25,-10.98,-10.42,932,13.23,24.03,1733.0,388.97,8.98,10570.49,67.89,67.92,1314.0,240.87,9.43,7863.96,79.18,63.48
47,https://mttmarket.com/users/5411d2b60cf22953036831e9,silverbuttonlad,3806.73,12637.97,16444.7,30.12,56.66,1877,6.73,23.12,20339.0,1003.81,5.74,21566.28,36.9,18.47,3143.0,285.39,4.4,4652.42,46.69,33.68
48,https://mttmarket.com/users/554a21bc0cf2bb0785a32293,kolowsk1,-2793.8,11809.0,9015.2,-23.66,-19.29,856,13.8,19.04,4123.0,3302.89,44.8,90943.17,56.83,49.23,648.0,426.34,14.69,2455.51,55.51,25.79
49,https://mttmarket.com/users/5581ce4a0cf28887159f72a7,Stalpan,-2691.28,9871.62,7180.34,-27.26,-20.45,1231,8.02,22.42,21208.0,2521.21,8.69,19981.49,33.12,10.84,1351.0,527.82,11.83,-1905.49,-12.06,-11.92
50,https://mttmarket.com/users/54ebbf270cf22b7780463868,TuzMan23,840.59,19249.68,20090.27,4.37,1.87,824,23.36,20.63,10141.0,2274.37,24.8,65516.15,49.28,26.05,1505.0,346.09,25.36,1313.46,30.67,3.44
51,https://mttmarket.com/users/537800600cf2c8120d3d8eed,Crock,-321.72,4981.21,4659.49,-6.46,2.0,546,9.12,22.71,8511.0,3429.21,5.67,12034.46,53.78,24.92,1233.0,429.81,7.05,1049.87,48.29,12.07
52,https://mttmarket.com/users/555deed30cf2820a8e3d3d6b,utaquake,-691.68,6195.83,5504.15,-11.16,5.57,939,6.6,19.7,13117.0,1518.38,2.98,4442.4,34.6,11.36,3189.0,217.09,2.0,1717.52,46.84,26.91
53,https://mttmarket.com/users/555b4bfa0cf2820a8e3c9792,KeryaSvyatoi,648.56,2036.0,2684.56,31.85,41.52,410,4.97,24.39,15055.0,1287.68,1.75,8483.97,35.38,32.21,3004.0,174.48,1.97,2533.35,51.86,42.85
54,https://mttmarket.com/users/5563057d0cf25c1c3c02ed7b,iamhater,165.56,4889.4,5054.96,3.39,22.28,965,5.07,16.37,4539.0,1204.89,2.25,1485.6,23.0,14.56,1666.0,313.31,3.38,668.35,29.03,11.88
55,https://mttmarket.com/users/543033f50cf2c31f2c2793a4,Noorgle,3658.32,26310.9,29969.22,13.9,13.09,1093,24.07,19.49,9521.0,583.52,11.63,24229.77,27.2,21.88,3756.0,234.2,17.11,16814.26,33.28,26.16
56,https://mttmarket.com/users/54a7e2090cf23c2fa9bf2c94,Play_yyer99,5265.69,22574.59,27840.28,23.33,27.68,1499,15.06,17.01,37249.0,317.73,5.18,39795.1,29.71,20.64,4324.0,201.71,6.15,9755.88,45.39,36.67
57,https://mttmarket.com/users/55b1121561ccb60010e6dea0,beetle,-1553.82,5945.36,4391.54,-26.14,-23.35,1013,5.87,20.04,11146.0,3816.88,1.43,-704.08,7.09,-4.43,2208.0,211.22,2.41,-43.63,9.84,-0.82
